lga_code,lda_name,2016,2018
10050,Albury,53705,54353
10130,Armidale Regional,30681,30779
10250,Ballina,44172,44628
10300,Balranald,2338,2338
10470,Bathurst Regional,43163,43618
10500,Bayside,174218,178396
10550,Bega Valley,34315,34476
10600,Bellingen,12953,12996
10650,Berrigan,8700,8750
10750,Blacktown,366078,374451
10800,Bland,5979,5972
10850,Blayney,7334,7379
10900,Blue Mountains,79191,79118
10950,Bogan,2618,2580
11150,Bourke,2626,2590
11200,Brewarrina,1653,1611
11250,Broken Hill,17715,17479
11300,Burwood,39864,40612
11350,Byron,34545,35081
11400,Cabonne,13667,13634
11450,Camden,94029,101437
11500,Campbelltown,167930,170943
11520,Canada Bay,95064,96074
11570,Canterbury-Bankstown,373486,377917
11600,Carrathool,2799,2799
11650,Central Coast,341693,343968
11700,Central Darling,1835,1839
11720,Cessnock,59029,59985
11730,Clarence Valley,51598,51662
11750,Cobar,4715,4658
11800,Coffs Harbour,76480,77277
12000,Coolamon,4363,4341
12150,Coonamble,4008,3958
12160,Cootamundra-Gundagai Regional,11250,11235
12350,Cowra,12753,12743
12380,Cumberland,236599,241521
12390,Dubbo Regional,53167,53719
12700,Dungog,9336,9423
12730,Edward River,8984,9084
12750,Eurobodalla,38253,38473
12850,Fairfield,210417,211695
12870,Federation,12450,12437
12900,Forbes,9898,9906
12930,Georges River,158283,159471
12950,Gilgandra,4221,4239
13010,Glen Innes Severn,8900,8871
13310,Goulburn Mulwaree,30823,31132
13340,Greater Hume Shire,10675,10764
13450,Griffith,26849,27029
13550,Gunnedah,12643,12681
13660,Gwydir,5344,5353
13800,Hawkesbury,67007,67296
13850,Hay,2975,2949
13910,Hilltops,18759,18704
14000,Hornsby,150632,152059
14100,Hunters Hill,14898,14980
14170,Inner West,197836,200811
14200,Inverell,16825,16890
14300,Junee,6625,6683
14350,Kempsey,29633,29745
14400,Kiama,22987,23386
14500,Ku-ring-gai,125965,127153
14550,Kyogle,8862,8796
14600,Lachlan,6143,6075
14650,Lake Macquarie,204694,205901
14700,Lane Cove,39442,40155
14750,Leeton,11425,11445
14850,Lismore,43803,43692
14870,Lithgow,21616,21605
14900,Liverpool,223025,227585
14920,Liverpool Plains,7886,7903
14950,Lockhart,3290,3285
15050,Maitland,83104,85166
15240,Mid-Coast,93209,93836
15270,Mid-Western Regional,25057,25251
15300,Moree Plains,13331,13261
15350,Mosman,30852,30981
15520,Murray River,12105,12118
15560,Murrumbidgee,3956,3917
15650,Muswellbrook,16364,16377
15700,Nambucca,19752,19805
15750,Narrabri,13216,13135
15800,Narrandera,5924,5899
15850,Narromine,6559,6517
15900,Newcastle,163943,165571
15950,North Sydney,74087,75021
15990,Northern Beaches,271027,273499
16100,Oberon,5403,5411
16150,Orange,42000,42451
16200,Parkes,14877,14837
16260,Parramatta,251065,257197
16350,Penrith,208947,212977
16380,Port Macquarie-Hastings,83062,84525
16400,Port Stephens,72630,73481
16490,Queanbeyan-Palerang Regional,59889,61100
16550,Randwick,154145,155649
16610,Richmond Valley,23374,23465
16700,Ryde,127340,131271
16900,Shellharbour,72160,73233
16950,Shoalhaven,104268,105648
17000,Singleton,23397,23461
17040,Snowy Monaro Regional,20714,20795
17080,Snowy Valleys,14516,14479
17100,Strathfield,45110,46926
17150,Sutherland Shire,228980,230611
17200,Sydney,240102,246343
17310,Tamworth Regional,62086,62541
17350,Temora,6267,6307
17400,Tenterfield,6631,6594
17420,The Hills Shire,172339,177969
17550,Tweed,96018,97001
17620,Upper Hunter Shire,14208,14180
17640,Upper Lachlan Shire,7954,8059
17650,Uralla,6057,6012
17750,Wagga Wagga,64743,65258
17850,Walcha,3129,3134
17900,Walgett,6044,5953
17950,Warren,2740,2697
18020,Warrumbungle Shire,9389,9278
18050,Waverley,74040,74295
18100,Weddin,3632,3613
18200,Wentworth,7033,7053
18250,Willoughby,80274,81189
18350,Wingecarribee,50452,51134
18400,Wollondilly,52171,53149
18450,Wollongong,215856,218114
18500,Woollahra,58908,59387
18710,Yass Valley,16936,17087
19399,Unincorporated NSW,1079,1026
20110,Alpine,12730,12814
20260,Ararat,11795,11845
20570,Ballarat,107324,109505
20660,Banyule,130250,131631
20740,Bass Coast,35326,36320
20830,Baw Baw,52012,53396
20910,Bayside,105745,106862
21010,Benalla,14023,14037
21110,Boroondara,181376,183199
21180,Brimbank,208744,209523
21270,Buloke,6183,6124
21370,Campaspe,37590,37622
21450,Cardinia,107117,112159
21610,Casey,340443,353872
21670,Central Goldfields,13208,13186
21750,Colac-Otway,21502,21564
21830,Corangamite,16139,16020
21890,Darebin,161653,164184
22110,East Gippsland,46816,47316
22170,Frankston,141847,142643
22250,Gannawarra,10546,10472
22310,Glen Eira,153920,156511
22410,Glenelg,19664,19674
22490,Golden Plains,23118,23722
22620,Greater Bendigo,116041,118093
22670,Greater Dandenong,166140,168201
22750,Greater Geelong,252229,258934
22830,Greater Shepparton,66008,66498
22910,Hepburn,15812,15975
22980,Hindmarsh,5644,5588
23110,Hobsons Bay,96481,97751
